parameters PADDING 296, 
0 0 10.021025000
5 0 10.135172000
1 0 10.435083000
2 0 10.625608000
6 0 10.866260000
7 0 11.040766000
3 0 11.341345000
4 0 11.553203000
8 0 11.795293000
9 0 12.014721000
10 0 12.104300000
11 0 12.395396000
12 0 12.529893000
13 0 12.649694000
14 0 12.878193000
15 0 13.043127000
17 0 13.686935000
18 0 13.676844000
19 0 13.666751000
20 0 13.656641000
21 0 13.708774000
22 0 13.785616000
23 0 14.000409000
24 0 14.023546000
25 0 14.280088000
26 0 14.451702000
27 0 14.566336000
28 0 14.642818000
29 0 14.845983000
30 0 14.952782000
31 0 15.212919000
32 0 15.429569000
33 0 15.651930000
34 0 15.880304000
35 0 16.166380000
108 0 15.590007000
158 0 15.266914000
161 0 15.377872000
181 0 15.299867000
244 0 15.365708000
245 0 15.429261000
246 0 15.704446000
247 0 15.991164000
248 0 16.100943000
305 0 15.795546000
306 0 15.997825000
307 0 16.160489000
316 0 16.475697000
317 0 16.493894000
395 0 15.905647000
396 0 16.061627000
452 0 15.652896000
453 0 15.789254000
454 0 15.906299000
551 0 15.140034000
552 0 15.236115000
553 0 15.374640000
554 0 15.584339000
555 0 15.680175000
644 0 14.874960000
645 0 15.064553000
646 0 15.166981000
647 0 15.244072000
648 0 15.461071000
698 0 15.084584000
699 0 15.223710000
700 0 15.345330000
729 0 15.150247000
730 0 15.294026000
797 0 14.719311000
798 0 14.834407000
799 0 14.939186000
820 0 14.846650000
821 0 15.224588000
822 0 15.268483000
823 0 15.312080000
824 0 15.428632000
830 0 15.507597000
894 0 15.023490000
895 0 15.200007000
896 0 15.416692000
897 0 15.492932000
971 0 14.887613000
1042 0 14.263814000
1043 0 14.395117000
1044 0 14.483440000
1087 0 14.168056000
1088 0 14.372810000
1141 0 13.923649000
1142 0 14.040201000
1184 0 13.826576000
1185 0 14.050531000
1186 0 14.139629000
1197 0 14.135024000
1198 0 14.191184000
1199 0 14.286896000
1263 0 13.690136000
1322 0 13.302978000
1323 0 13.413506000
1324 0 13.491063000
1325 0 13.639077000
1326 0 13.763045000
1386 0 13.297423000
1387 0 13.513048000
1388 0 13.661129000
1403 0 13.752508000
1478 0 13.116441000
1479 0 13.528333000
1480 0 13.604824000
1481 0 13.774477000
1482 0 13.891171000
1534 0 13.515406000
1535 0 13.590796000
1536 0 13.815294000
1597 0 13.448066000
1598 0 13.618085000
1621 0 13.517160000
1622 0 13.733662000
1623 0 13.836758000
1682 0 13.396122000
1683 0 13.519709000
1684 0 13.595771000
1685 0 13.606034000
1686 0 13.649530000
1758 0 13.149373000
1766 0 13.375940000
1767 0 13.485752000
1768 0 13.622356000
1769 0 13.680346000
1770 0 13.788660000
1780 0 13.867025000
1781 0 14.090848000
1816 0 13.921808000
1817 0 14.024693000
1818 0 14.207254000
1878 0 13.724042000
1879 0 13.848046000
1911 0 13.694901000
1912 0 13.808627000
1913 0 13.977156000
1976 0 13.613683000
1977 0 13.616874000
1978 0 13.720641000
1990 0 13.678192000
2053 0 13.085191000
2054 0 13.150965000
2055 0 13.163424000
2056 0 13.207143000
2057 0 13.243772000
2065 0 13.202215000
2066 0 13.231915000
2067 0 13.276050000
2068 0 13.312561000
2069 0 13.414805000
2124 0 12.922245000
2125 0 13.031427000
2126 0 13.074303000
2127 0 13.103914000
2135 0 13.303187000
2196 0 12.754991000
2257 0 12.294712000
2258 0 12.524030000
2259 0 12.621025000
2260 0 12.670873000
2261 0 12.807391000
2321 0 12.300638000
2322 0 12.521053000
