--------- beginning of /dev/log/system
I/ActivityManager(  182): Start proc com.samsung.syncservice for service com.samsung.syncservice/.SyncmlService: pid=12539 uid=1000 gids={1015, 3002, 3001, 3003, 3007}
--------- beginning of /dev/log/main
I/SyncmlService(12539): onCreate 
I/        (12539): dm_register_ext_handler_connector
I/ActivityManager(  182): Start proc com.android.bip for service com.android.bip/.BIPService: pid=12554 uid=10001 gids={3003}
D/UDP-TIMING(12522): 0 0 -0.370647000
D/UDP-TIMING(12522): 1 0 -0.371653000
D/UDP-TIMING(12522): 2 0 -0.371966000
D/UDP-TIMING(12522): 3 0 -0.373052000
D/UDP-TIMING(12522): 4 0 -0.374123000
D/UDP-TIMING(12522): 32 0 -0.384932000
D/UDP-TIMING(12522): 33 0 -0.385975000
D/UDP-TIMING(12522): 34 0 -0.387069000
D/UDP-TIMING(12522): 35 0 -0.388213000
D/UDP-TIMING(12522): 36 0 -0.389344000
D/UDP-TIMING(12522): 37 0 -0.390444000
D/UDP-TIMING(12522): 38 0 -0.391591000
D/UDP-TIMING(12522): 39 0 -0.392693000
D/UDP-TIMING(12522): 40 0 -0.393835000
D/UDP-TIMING(12522): 41 0 -0.394972000
D/UDP-TIMING(12522): 42 0 -0.396071000
D/UDP-TIMING(12522): 43 0 -0.397200000
D/UDP-TIMING(12522): 44 0 -0.398340000
D/UDP-TIMING(12522): 45 0 -0.399444000
D/UDP-TIMING(12522): 46 0 -0.400574000
D/UDP-TIMING(12522): 47 0 -0.401071000
D/UDP-TIMING(12522): 48 0 -0.402176000
D/UDP-TIMING(12522): 49 0 -0.403149000
D/UDP-TIMING(12522): 50 0 -0.404247000
D/UDP-TIMING(12522): 51 0 -0.405350000
D/UDP-TIMING(12522): 52 0 -0.406476000
D/UDP-TIMING(12522): 53 0 -0.407575000
D/UDP-TIMING(12522): 54 0 -0.408626000
D/UDP-TIMING(12522): 55 0 -0.409545000
D/UDP-TIMING(12522): 56 0 -0.410675000
D/UDP-TIMING(12522): 57 0 -0.411781000
D/UDP-TIMING(12522): 58 0 -0.412896000
D/UDP-TIMING(12522): 59 0 -0.414024000
D/UDP-TIMING(12522): 60 0 -0.415115000
D/UDP-TIMING(12522): 61 0 -0.416214000
D/UDP-TIMING(12522): 62 0 -0.417343000
D/UDP-TIMING(12522): 63 0 -0.418470000
D/UDP-TIMING(12522): 64 0 -0.419578000
D/UDP-TIMING(12522): 65 0 -0.420717000
D/UDP-TIMING(12522): 66 0 -0.421818000
D/UDP-TIMING(12522): 67 0 -0.422960000
D/UDP-TIMING(12522): 68 0 -0.424088000
D/UDP-TIMING(12522): 69 0 -0.425190000
D/UDP-TIMING(12522): 70 0 -0.422671000
D/UDP-TIMING(12522): 71 0 -0.423742000
D/UDP-TIMING(12522): 72 0 -0.424845000
D/UDP-TIMING(12522): 73 0 -0.425983000
D/UDP-TIMING(12522): 74 0 -0.427089000
D/UDP-TIMING(12522): 75 0 -0.428233000
D/UDP-TIMING(12522): 76 0 -0.429371000
D/UDP-TIMING(12522): 77 0 -0.430481000
D/UDP-TIMING(12522): 78 0 -0.431622000
D/UDP-TIMING(12522): 79 0 -0.432725000
D/UDP-TIMING(12522): 80 0 -0.433851000
D/UDP-TIMING(12522): 81 0 -0.435001000
D/UDP-TIMING(12522): 82 0 -0.436104000
D/UDP-TIMING(12522): 83 0 -0.437234000
D/UDP-TIMING(12522): 84 0 -0.438351000
D/UDP-TIMING(12522): 85 0 -0.439472000
D/UDP-TIMING(12522): 86 0 -0.440619000
D/UDP-TIMING(12522): 87 0 -0.441696000
D/UDP-TIMING(12522): 88 0 -0.442827000
D/UDP-TIMING(12522): 89 0 -0.443945000
D/UDP-TIMING(12522): 90 0 -0.445008000
D/UDP-TIMING(12522): 91 0 -0.446155000
D/UDP-TIMING(12522): 92 0 -0.447252000
D/UDP-TIMING(12522): 93 0 -0.448364000
D/UDP-TIMING(12522): 94 0 -0.449540000
D/UDP-TIMING(12522): 95 0 -0.450692000
D/UDP-TIMING(12522): 96 0 -0.451879000
D/UDP-TIMING(12522): 97 0 -0.453080000
D/UDP-TIMING(12522): 98 0 -0.454239000
