--------- beginning of /dev/log/main
D/UDP-TIMING(12522): 0 0 -0.390742000
D/UDP-TIMING(12522): 1 0 -0.396791000
D/UDP-TIMING(12522): 2 0 -0.402902000
D/UDP-TIMING(12522): 3 0 -0.409019000
D/UDP-TIMING(12522): 4 0 -0.393200000
D/UDP-TIMING(12522): 5 0 -0.399227000
D/UDP-TIMING(12522): 6 0 -0.405340000
D/UDP-TIMING(12522): 7 0 -0.411462000
D/UDP-TIMING(12522): 8 0 -0.417609000
D/UDP-TIMING(12522): 9 0 -0.423653000
D/UDP-TIMING(12522): 10 0 -0.429724000
D/UDP-TIMING(12522): 11 0 -0.435781000
D/UDP-TIMING(12522): 12 0 -0.441882000
D/UDP-TIMING(12522): 13 0 -0.448054000
D/UDP-TIMING(12522): 14 0 -0.454109000
D/UDP-TIMING(12522): 15 0 -0.460251000
D/UDP-TIMING(12522): 16 0 -0.466392000
D/UDP-TIMING(12522): 17 0 -0.472505000
D/UDP-TIMING(12522): 18 0 -0.478645000
D/UDP-TIMING(12522): 19 0 -0.484786000
D/UDP-TIMING(12522): 20 0 -0.489914000
D/UDP-TIMING(12522): 21 0 -0.489652000
D/UDP-TIMING(12522): 22 0 -0.490285000
D/UDP-TIMING(12522): 23 0 -0.490495000
D/UDP-TIMING(12522): 24 0 -0.489658000
D/UDP-TIMING(12522): 25 0 -0.473123000
D/UDP-TIMING(12522): 26 0 -0.472600000
D/UDP-TIMING(12522): 27 0 -0.478602000
D/UDP-TIMING(12522): 28 0 -0.473380000
D/UDP-TIMING(12522): 29 0 -0.473376000
D/UDP-TIMING(12522): 30 0 -0.477552000
D/UDP-TIMING(12522): 31 0 -0.483635000
D/UDP-TIMING(12522): 32 0 -0.483724000
D/UDP-TIMING(12522): 33 0 -0.489782000
D/UDP-TIMING(12522): 34 0 -0.485589000
D/UDP-TIMING(12522): 35 0 -0.490318000
D/UDP-TIMING(12522): 36 0 -0.490444000
D/UDP-TIMING(12522): 37 0 -0.489606000
